date,price
2021-03-29,76.3
2021-03-30,76.08
2021-03-31,75.23
2021-04-01,74.3
2021-04-05,75.04
2021-04-06,74.62
2021-04-07,74.49
2021-04-08,73.79
2021-04-09,74.07
2021-04-12,74.46
2021-04-13,74.02
2021-04-14,75.08
2021-04-15,75.78
2021-04-16,75.88
2021-04-19,75.75
2021-04-20,75.91
2021-04-21,76.7
2021-04-22,76.18
2021-04-23,76.05
2021-04-26,75.75
2021-04-27,75.11
2021-04-28,75.4
2021-04-29,76.37
2021-04-30,76.4
2021-05-03,77.69
2021-05-04,81.12
2021-05-05,83.04
2021-05-06,83.7
2021-05-07,85.11
2021-05-10,85.85
2021-05-11,84.37
2021-05-12,83.38
2021-05-13,84.27
2021-05-14,84.33
2021-05-17,84.56
2021-05-18,88.61
2021-05-19,89.21
2021-05-20,89.07
2021-05-21,89.81
2021-05-24,89.71
2021-05-25,88.7
2021-05-26,87.32
2021-05-27,86.42
2021-05-28,86.44
2021-06-01,85.87
2021-06-02,85.99
2021-06-03,87.06
2021-06-04,86.47
2021-06-07,86.33
2021-06-08,85.81
2021-06-09,84.95
2021-06-10,85.5
2021-06-11,85.47
2021-06-14,84.62
2021-06-15,85.4
2021-06-16,84.74
2021-06-17,84.23
2021-06-18,82.4
2021-06-21,84.02
2021-06-22,83.81
2021-06-23,83.73
2021-06-24,83.77
2021-06-25,84.08
2021-06-28,84.12
2021-06-29,83.49
2021-06-30,83.44
2021-07-01,82.22
2021-07-02,82.43
2021-07-06,81.18
2021-07-07,81.34
2021-07-08,80.22
2021-07-09,81.32
2021-07-12,81.82
2021-07-13,81.66
2021-07-14,82.42
2021-07-15,82.07
2021-07-16,81.72
2021-07-19,80.67
2021-07-20,81.8
2021-07-21,83.06
2021-07-22,82.63
2021-07-23,83.27
2021-07-26,82.87
2021-07-27,83.64
2021-07-28,83.3
2021-07-29,83.06
2021-07-30,82.36
2021-08-02,82.41
2021-08-03,84
2021-08-04,81.55
2021-08-05,80.05
2021-08-06,81.25
2021-08-09,81.65
2021-08-10,83.24
2021-08-11,84.95
2021-08-12,85.14
2021-08-13,84.36
2021-08-16,85.39
2021-08-17,86.47
2021-08-18,84.59
2021-08-19,84.23
2021-08-20,84.85
2021-08-23,84.6
2021-08-24,83.81
2021-08-25,83.57
2021-08-26,83.03
2021-08-27,83.71
2021-08-30,84.6
2021-08-31,86.39
2021-09-01,85.71
2021-09-02,86.96
2021-09-03,87.47
2021-09-07,86.58
2021-09-08,86.22
2021-09-09,85.41
2021-09-10,83.79
2021-09-13,84.51
2021-09-14,83.89
2021-09-15,85.54
2021-09-16,85.35
2021-09-17,85.51
2021-09-20,84.58
2021-09-21,83.93
2021-09-22,83.86
2021-09-23,84.86
2021-09-24,84.71
2021-09-27,85.74
2021-09-28,85.66
2021-09-29,86.79
2021-09-30,84.86
2021-10-01,84.07
2021-10-04,83.81
2021-10-05,83.64
2021-10-06,83.15
2021-10-07,84.2
2021-10-08,84.37
2021-10-11,84.28
2021-10-12,83.79
2021-10-13,83.16
2021-10-14,84.56
2021-10-15,85.84
2021-10-18,84.48
2021-10-19,84.89
2021-10-20,86.55
2021-10-21,86.86
2021-10-22,87.52
2021-10-25,87.68
2021-10-26,88.32
2021-10-27,88.09
2021-10-28,88.62
2021-10-29,89.28
2021-11-01,90.65
2021-11-02,91.15
2021-11-03,96.34
2021-11-04,94.49
2021-11-05,93.78
2021-11-08,93.76
2021-11-09,92.76
2021-11-10,92.96
2021-11-11,94.21
2021-11-12,94.02
2021-11-15,93.49
2021-11-16,92.89
2021-11-17,92.73
2021-11-18,95.34
2021-11-19,93.16
2021-11-22,92.99
2021-11-23,93.64
2021-11-24,92.65
2021-11-26,91.52
2021-11-29,92.02
2021-11-30,89.06
2021-12-01,88.78
2021-12-02,89.99
2021-12-03,90.87
2021-12-06,92.65
2021-12-07,92.93
2021-12-08,93.1
2021-12-09,97.31
2021-12-10,98.86
2021-12-13,98.9
2021-12-14,98.78
2021-12-15,100.55
2021-12-16,101.22
2021-12-17,100.36
2021-12-20,100.32
2021-12-21,100.79
2021-12-22,100.9
2021-12-23,101.31
2021-12-27,102.4
2021-12-28,102.77
2021-12-29,103.7
2021-12-30,103.68
2021-12-31,103.16
2022-01-03,104.16
2022-01-04,104.29
2022-01-05,105.81
2022-01-06,102.59
2022-01-07,104.19
2022-01-10,105.06
2022-01-11,106.04
2022-01-12,105.78
2022-01-13,105.34
2022-01-14,106.22
2022-01-18,104.51
2022-01-19,103.45
2022-01-20,102.39
2022-01-21,101.56
2022-01-24,103.51
2022-01-25,103.1
2022-01-26,104.86
2022-01-27,106.79
2022-01-28,109.27
2022-01-31,106.51
2022-02-01,106.27
2022-02-02,108.9
2022-02-03,108.72
2022-02-04,108.49
2022-02-07,109.41
2022-02-08,110.83
2022-02-09,104.79
2022-02-10,105.32
2022-02-11,104.24
2022-02-14,103
2022-02-15,102.97
2022-02-16,103.94
2022-02-17,102.3
2022-02-18,102.13
2022-02-22,101.92
2022-02-23,102.24
2022-02-24,100.77
2022-02-25,104.3
2022-02-28,103.65
2022-03-01,102.05
2022-03-02,104.43
2022-03-03,104.54
2022-03-04,105.19
2022-03-07,104.56
2022-03-08,102.36
2022-03-09,103.6
2022-03-10,104.08
2022-03-11,103.47
2022-03-14,104.49
2022-03-15,106.98
2022-03-16,107.11
2022-03-17,108.56
2022-03-18,107.3
2022-03-21,107.39
2022-03-22,107.23
2022-03-23,106.2
2022-03-24,108.05
2022-03-25,108.56
