date,price
2021-03-29,78.3
2021-03-30,76.96
2021-03-31,77.09
2021-04-01,77.09
2021-04-05,77
2021-04-06,75.79
2021-04-07,76.12
2021-04-08,75.49
2021-04-09,76.31
2021-04-12,76.22
2021-04-13,76.43
2021-04-14,76.4
2021-04-15,76.66
2021-04-16,77.47
2021-04-19,77.66
2021-04-20,78.57
2021-04-21,79.23
2021-04-22,77.96
2021-04-23,77.88
2021-04-26,77.53
2021-04-27,77.36
2021-04-28,77.09
2021-04-29,73.68
2021-04-30,74.5
2021-05-03,75.98
2021-05-04,75.99
2021-05-05,77.7
2021-05-06,77.78
2021-05-07,78.41
2021-05-10,78.17
2021-05-11,77.46
2021-05-12,78
2021-05-13,78.69
2021-05-14,78.29
2021-05-17,79.87
2021-05-18,79.38
2021-05-19,79.36
2021-05-20,79.66
2021-05-21,79.18
2021-05-24,79.03
2021-05-25,77.5
2021-05-26,77.23
2021-05-27,75.92
2021-05-28,75.89
2021-06-01,75.18
2021-06-02,75.87
2021-06-03,73.91
2021-06-04,74.11
2021-06-07,72.8
2021-06-08,72.4
2021-06-09,74.04
2021-06-10,76.14
2021-06-11,76.27
2021-06-14,75.45
2021-06-15,75.7
2021-06-16,76.61
2021-06-17,77.23
2021-06-18,76.61
2021-06-21,76.75
2021-06-22,76.19
2021-06-23,75.58
2021-06-24,76.36
2021-06-25,77.2
2021-06-28,76.86
2021-06-29,77.21
2021-06-30,77.77
2021-07-01,77.99
2021-07-02,78.6
2021-07-06,78.11
2021-07-07,78.56
2021-07-08,78.12
2021-07-09,77.99
2021-07-12,77.55
2021-07-13,77.61
2021-07-14,77.62
2021-07-15,77.9
2021-07-16,78.02
2021-07-19,77.05
2021-07-20,76.17
2021-07-21,76.39
2021-07-22,76.53
2021-07-23,77.54
2021-07-26,77.24
2021-07-27,77.85
2021-07-28,78.33
2021-07-29,76.93
2021-07-30,76.87
2021-08-02,76.18
2021-08-03,76.41
2021-08-04,75.48
2021-08-05,75.59
2021-08-06,75.44
2021-08-09,75.32
2021-08-10,75.19
2021-08-11,75.21
2021-08-12,76.04
2021-08-13,76.72
2021-08-16,77.93
2021-08-17,78.83
2021-08-18,77.79
2021-08-19,78.46
2021-08-20,78.68
2021-08-23,78.38
2021-08-24,77.72
2021-08-25,77.07
2021-08-26,76.57
2021-08-27,76.3
2021-08-30,76.5
2021-08-31,76.29
2021-09-01,76.18
2021-09-02,77.12
2021-09-03,77.26
2021-09-07,75.98
2021-09-08,75.36
2021-09-09,73.82
2021-09-10,73.45
2021-09-13,73.18
2021-09-14,72.11
2021-09-15,72.81
2021-09-16,71.97
2021-09-17,71.68
2021-09-20,71.93
2021-09-21,71.97
2021-09-22,72.04
2021-09-23,73.05
2021-09-24,73.61
2021-09-27,73.36
2021-09-28,73.32
2021-09-29,75.09
2021-09-30,75.11
2021-10-01,81.4
2021-10-04,83.1
2021-10-05,81.6
2021-10-06,80.66
2021-10-07,81.94
2021-10-08,80.63
2021-10-11,79.93
2021-10-12,79.59
2021-10-13,78.95
2021-10-14,78.33
2021-10-15,78.33
2021-10-18,77.15
2021-10-19,79.49
2021-10-20,81.07
2021-10-21,81.17
2021-10-22,81.15
2021-10-25,81.66
2021-10-26,82.25
2021-10-27,81.54
2021-10-28,86.55
2021-10-29,88.05
2021-11-01,87.84
2021-11-02,89.02
2021-11-03,88.68
2021-11-04,90.54
2021-11-05,81.61
2021-11-08,82.68
2021-11-09,82.72
2021-11-10,84.01
2021-11-11,84.02
2021-11-12,84
2021-11-15,83.69
2021-11-16,84.11
2021-11-17,82.6
2021-11-18,83.05
2021-11-19,80.7
2021-11-22,81.64
2021-11-23,82.8
2021-11-24,82.28
2021-11-26,79.16
2021-11-29,74.89
2021-11-30,74.91
2021-12-01,74.44
2021-12-02,73.89
2021-12-03,73.34
2021-12-06,73.42
2021-12-07,72.28
2021-12-08,73.21
2021-12-09,72.86
2021-12-10,72.62
2021-12-13,73.42
2021-12-14,73.72
2021-12-15,75.29
2021-12-16,75.91
2021-12-17,75.69
2021-12-20,76.41
2021-12-21,75.54
2021-12-22,76.16
2021-12-23,75.73
2021-12-27,76.57
2021-12-28,76.81
2021-12-29,76.95
2021-12-30,77.14
2021-12-31,76.64
2022-01-03,76.87
2022-01-04,77.01
2022-01-05,78.88
2022-01-06,78.83
2022-01-07,80.3
2022-01-10,82.37
2022-01-11,81.67
2022-01-12,81.2
2022-01-13,81.32
2022-01-14,81.38
2022-01-18,81.54
2022-01-19,81.29
2022-01-20,80.75
2022-01-21,79.98
2022-01-24,78.83
2022-01-25,79.46
2022-01-26,79.14
2022-01-27,80.58
2022-01-28,80.9
2022-01-31,81.48
2022-02-01,81.92
2022-02-02,82.01
2022-02-03,79.01
2022-02-04,78.56
2022-02-07,77.58
2022-02-08,76.91
2022-02-09,76.53
2022-02-10,76.56
2022-02-11,76.64
2022-02-14,76.47
2022-02-15,77.81
2022-02-16,77.22
2022-02-17,76.36
2022-02-18,76.37
2022-02-22,75.95
2022-02-23,75.84
2022-02-24,73.51
2022-02-25,76.32
2022-02-28,76.58
2022-03-01,76.34
2022-03-02,76.67
2022-03-03,77.15
2022-03-04,77.83
2022-03-07,77.73
2022-03-08,76.95
2022-03-09,77.79
2022-03-10,77.89
2022-03-11,78.26
2022-03-14,77.78
2022-03-15,78.64
2022-03-16,78.12
2022-03-17,78.94
2022-03-18,79.11
2022-03-21,79.06
2022-03-22,79.3
2022-03-23,79.73
2022-03-24,80.41
2022-03-25,81.34
