date,price
2021-03-29,52.85
2021-03-30,52.98
2021-03-31,54.9
2021-04-01,54.75
2021-04-05,56.8
2021-04-06,55.7
2021-04-07,55.58
2021-04-08,54.79
2021-04-09,54.18
2021-04-12,54.7
2021-04-13,54.6
2021-04-14,54.47
2021-04-15,53.72
2021-04-16,53.3
2021-04-19,53.79
2021-04-20,53.34
2021-04-21,54.05
2021-04-22,52.58
2021-04-23,53.02
2021-04-26,52.73
2021-04-27,52.51
2021-04-28,52.4
2021-04-29,52.735
2021-04-30,53.1
2021-05-03,54.3
2021-05-04,54.12
2021-05-05,54.47
2021-05-06,54.46
2021-05-07,54.53
2021-05-10,55.11
2021-05-11,54.24
2021-05-12,53.04
2021-05-13,54.14
2021-05-14,54.71
2021-05-17,55.3
2021-05-18,55.26
2021-05-19,54.81
2021-05-20,54.6
2021-05-21,54.88
2021-05-24,54.83
2021-05-25,54.19
2021-05-26,52.01
2021-05-27,53.04
2021-05-28,52.66
2021-06-01,52.84
2021-06-02,53.83
2021-06-03,54.77
2021-06-04,54.85
2021-06-07,54.56
2021-06-08,54
2021-06-09,53.43
2021-06-10,55.31
2021-06-11,55.31
2021-06-14,54.43
2021-06-15,54.24
2021-06-16,53.31
2021-06-17,52.81
2021-06-18,50.84
2021-06-21,51.93
2021-06-22,51.77
2021-06-23,52.08
2021-06-24,52.1
2021-06-25,52.16
2021-06-28,52.21
2021-06-29,51.99
2021-06-30,52.61
2021-07-01,48.71
2021-07-02,48.17
2021-07-06,47.7
2021-07-07,47.49
2021-07-08,46.72
2021-07-09,47.41
2021-07-12,47.55
2021-07-13,47.32
2021-07-14,46.88
2021-07-15,46.25
2021-07-16,46.02
2021-07-19,45.58
2021-07-20,46.06
2021-07-21,46.67
2021-07-22,46.49
2021-07-23,46.53
2021-07-26,47.25
2021-07-27,46.82
2021-07-28,47.11
2021-07-29,47.04
2021-07-30,47.15
2021-08-02,46.83
2021-08-03,47.49
2021-08-04,46.54
2021-08-05,46.93
2021-08-06,47.1
2021-08-09,47.44
2021-08-10,48.43
2021-08-11,49.72
2021-08-12,49.32
2021-08-13,49.29
2021-08-16,49.14
2021-08-17,49.14
2021-08-18,49.02
2021-08-19,47.55
2021-08-20,48.3
2021-08-23,48.51
2021-08-24,48.34
2021-08-25,48.65
2021-08-26,47.84
2021-08-27,48.48
2021-08-30,48.63
2021-08-31,50.75
2021-09-01,50.29
2021-09-02,51.78
2021-09-03,51.29
2021-09-07,51
2021-09-08,51.09
2021-09-09,50.57
2021-09-10,49.45
2021-09-13,49.18
2021-09-14,48.22
2021-09-15,50.12
2021-09-16,49.94
2021-09-17,49.62
2021-09-20,48.4
2021-09-21,48.02
2021-09-22,48.01
2021-09-23,48.46
2021-09-24,48.31
2021-09-27,48.8
2021-09-28,48.09
2021-09-29,48.71
2021-09-30,47.05
2021-10-01,46.8
2021-10-04,46.69
2021-10-05,47.09
2021-10-06,46.91
2021-10-07,47.85
2021-10-08,47.38
2021-10-11,47.42
2021-10-12,47.42
2021-10-13,47.26
2021-10-14,50.77
2021-10-15,48.92
2021-10-18,48.4
2021-10-19,48.01
2021-10-20,48.39
2021-10-21,49.14
2021-10-22,49
2021-10-25,49.22
2021-10-26,48.31
2021-10-27,47.12
2021-10-28,47.1
2021-10-29,47.02
2021-11-01,47.32
2021-11-02,47.75
2021-11-03,49.23
2021-11-04,49.51
2021-11-05,50.2
2021-11-08,49.9
2021-11-09,49.1
2021-11-10,48.97
2021-11-11,49.94
2021-11-12,49.54
2021-11-15,49.22
2021-11-16,48.57
2021-11-17,47.81
2021-11-18,47.82
2021-11-19,46.98
2021-11-22,47.32
2021-11-23,47.39
2021-11-24,46.62
2021-11-26,45.9
2021-11-29,46.08
2021-11-30,44.8
2021-12-01,43.72
2021-12-02,44.62
2021-12-03,46.53
2021-12-06,48.3
2021-12-07,48.23
2021-12-08,48.5
2021-12-09,49.17
2021-12-10,49.5
2021-12-13,49.14
2021-12-14,49.32
2021-12-15,49.66
2021-12-16,49.26
2021-12-17,48.85
2021-12-20,48.83
2021-12-21,49.96
2021-12-22,50.41
2021-12-23,50.48
2021-12-27,50.73
2021-12-28,51.43
2021-12-29,52.25
2021-12-30,51.99
2021-12-31,52.16
2022-01-03,53.06
2022-01-04,53.48
2022-01-05,54
2022-01-06,52.44
2022-01-07,53.84
2022-01-10,53.73
2022-01-11,54.33
2022-01-12,53.91
2022-01-13,54.19
2022-01-14,54.3
2022-01-18,53.52
2022-01-19,53.53
2022-01-20,53.18
2022-01-21,52.5
2022-01-24,52.38
2022-01-25,50.99
2022-01-26,49.76
2022-01-27,50
2022-01-28,50.46
2022-01-31,49.76
2022-02-01,49.75
2022-02-02,50.41
2022-02-03,49.5
2022-02-04,48.6
2022-02-07,49.09
2022-02-08,49.79
2022-02-09,49.99
2022-02-10,49.22
2022-02-11,48.7
2022-02-14,47.36
2022-02-15,48.3
2022-02-16,47.88
2022-02-17,46.81
2022-02-18,46.61
2022-02-22,45.79
2022-02-23,45.46
2022-02-24,45.27
2022-02-25,46.2
2022-02-28,46.09
2022-03-01,45.01
2022-03-02,46.15
2022-03-03,46.72
2022-03-04,47.72
2022-03-07,46.99
2022-03-08,47.47
2022-03-09,48.12
2022-03-10,48.07
2022-03-11,47.44
2022-03-14,47.91
2022-03-15,48.17
2022-03-16,47.38
2022-03-17,47.48
2022-03-18,47.36
2022-03-21,47.38
2022-03-22,47.43
2022-03-23,46.74
2022-03-24,47.02
2022-03-25,47.12
